"site_id","site_name","latitude","longitude","elevation","geology","rock_age","monitoring"
222,"Patate cave",-19.7583,63.3864,20,"limestone","Pleistocene","no"
223,"Wanxiang cave",33.32,105,1200,"limestone","Silurian","yes"
224,"Xianglong cave",33,106.33,940,"dolomite","Precambrian","yes"
225,"Chiflonkhakha cave",-18.1222,-65.7739,2660,"limestone","Cretaceous","no"
226,"Cueva del Diamante",-5.73,-77.5,960,"unknown","unknown","unknown"
227,"El Capitan cave",56.162,-133.319,80,"limestone","Silurian","no"
228,"Bat cave",32.1,-104.26,1300,"unknown","unknown","unknown"
229,"Actun Tunichil Muknal",17.1,-88.85,40,"limestone","Cretaceous","no"
230,"Marota cave",-12.6227,-41.0216,560,"limestone","Precambrian","no"
231,"Pacupahuain cave",-11.24,-75.82,3800,"limestone","unknown","unknown"
232,"Rio Secreto cave system",20.59,-87.13,20,"limestone","Pliocene","yes"
233,"Robinson cave",33,-107.7,2007,"unknown","unknown","unknown"
234,"Santana cave",-24.5308,-48.7267,250,"limestone","Precambrian","yes"
235,"Cueva del Tigre Perdido",-5.9406,-77.3081,1000,"unknown","unknown","unknown"
236,"Toca da Boa Vista",-10.1602,-40.8605,600,"dolomite","Precambrian","no"
237,"Umajalanta cave",-18.12,-65.77,2830,"limestone","Cretaceous","no"
238,"Akalagavi cave",14.9833,74.5167,521,"limestone","Precambrian","no"
239,"Baluk cave",42.433,84.733,2752,"unknown","unknown","no"
240,"Baratang cave",12.0833,92.75,20,"limestone","unknown","no"
241,"Gempa bumi cave",-5,120,140,"limestone","Pleistocene","unknown"
242,"Haozhu cave",30.6833,109.9833,1017,"dolomite","Jurassic","unknown"
243,"Kailash cave",18.8445,81.9915,490,"limestone","Precambrian","no"
244,"Lianhua cave, Shanxi",38.1667,113.7167,1200,"limestone","Ordovician","no"
245,"Nakarallu cave",14.52,77.99,280,"unknown","Precambrian","no"
246,"Palawan cave",10.2,118.9,2,"limestone","Pleistocene","no"
247,"Shalaii cave",35.1469,45.2958,739,"limestone","Oligocene","yes"
248,"Shenqi cave",28.333,103.1,1407,"limestone","Triassic","unknown"
249,"Shigao cave",28.183,107.167,970,"unknown","unknown","unknown"
250,"Wuya cave",33.82,105.43,1370,"unknown","unknown","no"
251,"Zhenzhu cave",38.25,113.7,975,"mixed","Cambrian","yes"
252,"Andriamaniloke",-24.051,43.7569,20,"limestone","Eocene","no"
253,"Hoq cave",12.5866,54.3543,335,"limestone","Palaeocene","no"
254,"PP29",-34.2078,22.0876,10,"unknown","unknown","no"
255,"Mitoho",-24.0477,43.7533,20,"limestone","Eocene","no"
256,"Lithophagus cave",46.828,22.6,545,"limestone","Jurassic","no"
257,"Akcakale cave",40.4498,39.5365,1530,"limestone","Jurassic","yes"
258,"B7 cave",49,7,185,"limestone","Devonian","yes"
259,"Cobre cave",42.98,-4.37,1600,"limestone","Carboniferous","unknown"
260,"Crovassa Azzurra",39.28,8.48,410,"mixed","Cambrian","no"
261,"El Soplao cave",43.2962,-4.3937,550,"dolomite","Cretaceous","yes"
262,"Bleßberg cave",50.4244,11.0203,500,"limestone","Triassic","yes"
263,"Bulgarian Orlova Chuka cave",43.5937,25.9597,150,"limestone","Pleistocene","no"
264,"Strašna pe? cave",44.0049,15.0388,74,"limestone","Cretaceous","yes"
265,"Coves de Campanet",39.7937,2.9683,65,"dolomite","Triassic","no"
266,"Cueva Victoria",37.6322,-0.8215,75,"mixed","Triassic","no"
267,"Gruta do Casal da Lebre",39.3,-9.2667,130,"limestone","Jurassic","yes"
268,"Pere Noel cave",50,5.2,230,"limestone","Devonian","yes"
269,"Gejkar cave",35.8,45.1645,650,"limestone","unknown","no"
270,"Gol-E-Zard cave",35.84,52,2535,"limestone","unknown","yes"
271,"Jersey cave",-35.72,148.49,800,"limestone","Silurian","no"
272,"Metro cave",-41.93,171.47,60,"limestone","unknown","unknown"
273,"Crystal cave",36.59,-118.82,1386,"unknown","unknown","yes"
274,"Terciopelo cave",10.17,-85.33,370,"limestone","Palaeocene","no"
275,"Buraca Gloriosa",39.5333,-8.7833,420,"limestone","Jurassic","yes"
276,"Béke cave",48.4833,20.5167,338,"limestone","Triassic","yes"
277,"Huagapo cave",-11.27,-75.79,3850,"dolomite","Triassic","no"
278,"Pink Panther cave",32,-105.2,1900,"unknown","unknown","unknown"
279,"Staircase cave",-34.2071,22.0899,30,"unknown","unknown","no"
280,"Atta cave",51.1,7.9,308,"limestone","Devonian","yes"
281,"Venado cave",10.55,-84.77,380,"limestone","Miocene","no"
282,"Wadi Sannur cave",28.6167,31.2833,200,"limestone","Eocene","no"
283,"Babylon cave",-41.95,171.47,175,"limestone","Miocene","unknown"
284,"Creighton`s cave",-40.63,172.47,80,"limestone","unknown","unknown"
285,"Disbelief cave",-38.82,177.52,600,"limestone","Pliocene","unknown"
286,"La Garma cave",43.4306,-3.6658,85,"limestone","Cretaceous","yes"
287,"Twin Forks cave",-40.63,172.48,80,"limestone","unknown","unknown"
288,"Wet Neck cave",-40.7,172.48,90,"limestone","unknown","unknown"
289,"Gassel Tropfsteinhöhle",47.8228,13.8428,1225,"limestone","Cretaceous","unknown"
290,"Grete-Ruth Shaft",47.5429,12.0272,1435,"limestone","Cretaceous","no"
292,"Limnon cave",37.9605,22.1403,820,"limestone","Cretaceous","yes"
293,"Tham Doun Mai",20.75,102.65,352,"limestone","unknown","yes"
294,"Palco cave",18.35,-66.5,250,"limestone","Oligocene","no"
